,0
cea_level,0.5552184642745458
pn_No,0.47652171689070166
pn_Yes,0.4700332350036933
margin_Negative,0.2997059486597595
age,0.26673574876771705
no_ln,0.23749526776529573
sex,0.19817941718416532
tumor_grade_MD,0.19759497467520415
cm_cM0,0.19250704435960833
neoadj_0,0.16537759925976886
ct_cT3,0.1536726233511037
pt_pT2,0.13645570286819067
neoadj_CRT,0.12498786279898243
pt_pT0/pCR,0.09858724153760587
tumor_loc_Middle,0.08799944368118884
tumor_loc_Lower,0.08655586876251674
lvi,0.07365548103954679
cn_cN1,0.07128580179957836
tumor_grade_Signet,0.056822865140268006
pt_pT3,0.05611587420351762
cn_cN2,0.048622701559877926
pt_pT4a,0.04781338082638803
cn_cN0,0.04412659199671242
staging_III,0.04408210488173812
tumor_grade_WD,0.04385601743908987
pt_pT1,0.028645072026254575
tumor_grade_Mucinous,0.027690819490977354
pn_nan,0.023759713520459243
staging_II,0.021179586886386385
tumor_loc_Upper,0.019561770747775358
ct_cT4b,0.01788379066540846
tnt,0.01702831921196817
ct_cT4a,0.011106115714865581
postpone_neoadj,0.006099733349558369
cn_nan,0.005616468372028421
margin_CRM positive,0.005011958574713267
cm_cM1,0.004773355544679442
pt_pT4b,0.004686819733777878
ct_nan,0.0021637399392746824
sx_Yes,0.0
pt_nan,0.0
"margin_Negative , No",0.0
"margin_Negative , NA",0.0
staging_nan,0.0
"margin_Distal positive , CRM positive",0.0
margin_Distal positive,0.0
staging_I,0.0
tumor_grade_PD,0.0
cm_nan,0.0
ct_cT1,0.0
neoadj_CMT,0.0
ct_cT2,0.0
neoadj_RT,0.0
neoadj_nan,0.0
sx_No,0.0
staging_IV,0.0
margin_nan,0.0
