,0
pn_No,0.13345023160753466
cea_level,0.13260164757588178
pn_Yes,0.13196759038959674
margin_Negative,0.05135475432578062
pt_pT0/pCR,0.042588395088440714
age,0.038201689341719414
lvi,0.03635868784308581
no_ln,0.0323456432677837
tumor_grade_Signet,0.020840789229262795
cn_cN2,0.018586287193542755
pt_pT3,0.01781477542003401
pt_pT1,0.016511904596943645
sx_No,0.016439881834259016
margin_CRM positive,0.015525943820639721
cm_cM1,0.014743528472181125
ct_cT3,0.013874681512417391
sx_Yes,0.013541894057730685
neoadj_CMT,0.013328399624288141
tumor_loc_Middle,0.012901655832083173
neoadj_0,0.012880639944867078
cm_cM0,0.012749727077982222
cn_cN0,0.012340048943898264
pt_nan,0.011993529045220478
tumor_loc_Lower,0.011992198377053648
tumor_grade_MD,0.010959026617872208
tumor_loc_Upper,0.010472866151698403
staging_IV,0.009564826314263171
cn_cN1,0.009482147597511184
ct_cT4b,0.009448495348826476
margin_nan,0.00932783871710338
staging_I,0.008936606942499802
ct_cT2,0.008898140136364257
sex,0.008865924239584913
pt_pT2,0.007792257864231699
neoadj_CRT,0.006705226744229739
staging_II,0.006159230960226582
pt_pT4a,0.006039029079547967
tumor_grade_WD,0.006002720454982754
pt_pT4b,0.0057973712979341886
ct_cT4a,0.005047726534137309
postpone_neoadj,0.0045719904900888555
staging_III,0.0044996861458888975
pn_nan,0.004364045068820541
tnt,0.004295723935943276
"margin_Negative , NA",0.0026232381051045123
ct_cT1,0.0024813445656300865
tumor_grade_Mucinous,0.0024735656203807785
tumor_grade_PD,0.0016168786412734015
neoadj_nan,0.0016058405253277857
ct_nan,0.0014759870056691529
cn_nan,0.0014575682293567693
cm_nan,0.0014524685058852538
staging_nan,0.0012169533948393088
neoadj_RT,0.0009958537203882453
"margin_Negative , No",0.0003355798962031943
margin_Distal positive,9.931672595841722e-05
"margin_Distal positive , CRM positive",0.0
